Date,Index,Previous Close
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-25,74,75
2025-07-28,74,74
2025-07-28,74,74
2025-07-28,74,74
2025-07-28,74,74
2025-07-28,74,74
2025-07-28,74,74
2025-07-29,73,74
2025-07-29,73,74
2025-07-29,73,74
2025-07-29,69,74
2025-07-29,69,74
2025-07-29,69,74
2025-07-29,69,74
2025-07-30,67,69
2025-07-31,63,67
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-01,50,63
2025-08-04,57,50
2025-08-05,55,56
2025-08-06,55,55
2025-08-07,55,55
2025-08-08,59,55
2025-08-11,58,59
2025-08-12,63,58
2025-08-13,64,63
2025-08-14,64,64
2025-08-15,64,63
2025-08-18,65,64
2025-08-19,60,65
2025-08-20,56,60
2025-08-21,53,56
2025-08-22,61,55
2025-08-25,59,61
2025-08-26,60,59
2025-08-27,60,60
2025-08-27,60,60
2025-08-27,60,60
2025-08-27,62,60
2025-08-28,66,62
2025-08-29,64,66
2025-08-29,64,66
2025-09-02,62,64
2025-09-03,52,62
2025-09-04,52,52
2025-09-05,53,52
2025-09-08,52,53
2025-09-09,51,52
2025-09-10,51,51
2025-09-11,53,51
2025-09-12,54,53
2025-09-15,58,54
2025-09-16,58,58
2025-09-17,57,58
2025-09-18,62,57
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-19,62,62
2025-09-22,63,62
2025-09-23,58,63
2025-09-24,57,58
2025-09-25,52,57
2025-09-26,53,52
2025-09-29,53,53
2025-09-30,53,53
2025-10-01,52,53
2025-10-02,51,52
2025-10-03,54,51
2025-10-06,57,54
2025-10-07,53,57
2025-10-08,53,53
2025-10-09,49,53
2025-10-10,29,49
2025-10-13,33,29
2025-10-14,30,33
2025-10-15,30,30
2025-10-17,23,23
2025-10-17,27,23
2025-10-20,30,27
2025-10-21,29,30
2025-10-22,26,29
2025-10-23,28,26
2025-10-24,33,28
2025-10-27,37,33
2025-10-28,39,38
2025-10-29,42,39
2025-10-31,35,37
2025-11-03,44,36
2025-11-04,22,44
2025-11-05,24,22
2025-11-06,24,24
2025-11-06,24,24
2025-11-07,21,24
2025-11-07,21,24
2025-11-10,32,21
2025-11-11,31,32
2025-11-12,35,31
2025-11-13,24,34
2025-11-14,22,24
2025-11-17,15,22
2025-11-18,11,15
2025-11-20,6,11
2025-11-21,10,6
2025-11-24,14,11
2025-11-25,16,14
2025-11-26,18,16
2025-11-27,18,18
2025-11-28,24,19
2025-12-01,23,24
2025-12-02,24,23
2025-12-03,26,24
2025-12-04,39,26
2025-12-08,33,40
2025-12-09,32,31
2025-12-11,46,36
2025-12-12,42,46
2025-12-15,51,42
2025-12-16,47,50
2025-12-17,39,47
2025-12-18,43,39
2025-12-19,45,44
2025-12-22,56,45
2025-12-23,59,56
2025-12-24,58,59
2025-12-25,59,58
2025-12-26,56,58
2025-12-29,49,56
2025-12-30,49,49
2025-12-31,46,49
2026-01-01,44,46
2026-01-02,45,44
2026-01-05,47,45
2026-01-06,52,47
2026-01-07,47,52
2026-01-08,46,47
2026-01-09,51,46
2026-01-09,51,46
2026-01-09,51,46
2026-01-14,56,56
2026-01-15,62,56
2026-01-16,62,62
2026-01-16,62,62
2026-01-20,48,62
2026-01-21,50,48
2026-01-22,52,50
2026-01-23,52,52
2026-01-26,55,52
2026-01-27,64,55
2026-01-28,63,64
2026-01-29,62,63
2026-01-30,58,62
